modalities,loss,test_fmax,test_loss,val_fmax_ckpt,val_loss_ckpt,val_loss_earlystop,best_epoch_ckpt,early_stop_epoch,params,cafa_fmax,cafa_smin
prott5,BCE,0.5033493103000027,0.02384598011771838,0.5032027185554323,0.03648259096750708,0.036554764538551825,25,22,3626392,0.568,19.46
prott5,FOCAL,0.500183569320393,0.0023103196639567614,0.4873935587291408,0.0036560903740764567,0.0037421255908680687,14,9,3626392,0.57,19.233
prott5 + ppi,BCE,0.5292245684500239,0.02213713783149918,0.5402922949008997,0.033807880736210126,0.03378922452755047,17,13,4151704,0.596,18.304
prott5 + ppi,FOCAL,0.5155068477233324,0.002239687859546393,0.5329179942183357,0.0033619779162108896,0.0034372063692320477,13,8,4151704,0.582,19.0
prott5 + struct,BCE,0.5049732210671171,0.023934742615868646,0.5026066100343959,0.036699541759761894,0.03662320676852356,24,19,4151704,0.571,19.166
prott5 + struct,FOCAL,0.4918602386766524,0.0023857865886141856,0.48337311223368734,0.0036817215524162306,0.00377886741083454,13,8,4151704,0.557,19.568
prott5 + struct + ppi,BCE,0.5200230693654502,0.02268002393345038,0.5399808238123868,0.03381169101957119,0.03382677108500943,18,15,4677016,0.597,18.487
prott5 + struct + ppi,FOCAL,0.517992845071004,0.0022040448004069426,0.5341615130243382,0.0033528168742178064,0.0034351994890268103,15,10,4677016,0.586,18.792
prott5 + text,BCE,0.5156179750725903,0.022365848670403164,0.5337046385477934,0.034240934026963786,0.03407618781608163,25,22,4413848,0.577,19.024
prott5 + text,FOCAL,0.5193934798593863,0.002187772474717349,0.5252264613573446,0.0033971972530707716,0.0034394773753416356,17,12,4413848,0.587,18.542
prott5 + text + ppi,BCE,0.5195887546469588,0.022184181430687507,0.5559779656572408,0.03300431623603359,0.0328650189281413,22,17,4939160,0.586,18.779
prott5 + text + ppi,FOCAL,0.520011742781979,0.002164583911653608,0.545133206731442,0.0032903432634405114,0.0033793296044071514,12,7,4939160,0.585,18.726
prott5 + text + struct,BCE,0.5157312392226295,0.022366363896677892,0.5300920428122202,0.03440744872346069,0.034422369380340434,22,18,4939160,0.581,18.878
prott5 + text + struct,FOCAL,0.518112254188025,0.0021868386080799,0.5192887019721146,0.003453011058666038,0.003499195561038725,15,10,4939160,0.586,18.728
prott5 + text + struct + ppi,BCE,0.5246674424615277,0.021800239775329827,0.5529999460426491,0.033018318755608615,0.03295119496231729,17,13,5464472,0.593,18.537
prott5 + text + struct + ppi,FOCAL,0.5236924920827382,0.0021764877842118343,0.5504923743936724,0.0032654466559038017,0.003273305229165337,17,12,5464472,0.591,18.671
