modalities,loss,test_fmax,test_loss,val_fmax_ckpt,val_loss_ckpt,val_loss_earlystop,best_epoch_ckpt,early_stop_epoch,params,cafa_fmax,cafa_smin
prott5,BCE,0.6228003544252589,0.05338241904973984,0.7123692322278319,0.04511415693335808,0.04477574435086586,18,13,1861159,0.692,6.493
prott5,FOCAL,0.6309697027987117,0.00551088922074996,0.7115693543848153,0.004598391366203149,0.0045716798004622645,19,13,1861159,0.696,6.304
prott5 + ppi,BCE,0.6272535325146481,0.05285411304794252,0.7462430019170248,0.041590871659513466,0.04090608537006073,14,9,2386471,0.69,6.349
prott5 + ppi,FOCAL,0.6289567938579689,0.005782771052327007,0.7445456085898632,0.0042941139694542075,0.004278785993870444,13,7,2386471,0.693,6.323
prott5 + struct,BCE,0.6220467343665389,0.05341844698414207,0.7141663313128495,0.04501548816617101,0.04495860432059719,17,15,2386471,0.691,6.495
prott5 + struct,FOCAL,0.6187524725863259,0.005543814093107358,0.7135311386544018,0.004568463500338391,0.004599032374337697,17,13,2386471,0.687,6.505
prott5 + struct + ppi,BCE,0.6274277046357608,0.05353130069561303,0.7439854469604973,0.041907309590337366,0.041154932182950854,15,11,2911783,0.69,6.404
prott5 + struct + ppi,FOCAL,0.6243118394741494,0.005501445895060897,0.7421430064570531,0.004290653841916281,0.004282318000407077,14,7,2911783,0.69,6.455
prott5 + text,BCE,0.6358321759133724,0.05142075652256608,0.715476661643533,0.04457241053191515,0.044529593454148524,12,10,2648615,0.701,6.223
prott5 + text,FOCAL,0.63369368238454,0.005157252121716738,0.7140936575967747,0.004535683579981709,0.004541599439480939,13,10,2648615,0.698,6.271
prott5 + text + ppi,BCE,0.626135249868442,0.056091859890148046,0.7456525271724966,0.041897182448361166,0.04078115128840391,15,9,3173927,0.691,6.36
prott5 + text + ppi,FOCAL,0.6221629727881004,0.005760276137152687,0.7435714936994489,0.004263137168704699,0.004249817046981592,13,7,3173927,0.689,6.48
prott5 + text + struct,BCE,0.6279324708993508,0.05247441423125565,0.7179051816028824,0.04450577173907405,0.04438369372525276,15,11,3173927,0.693,6.368
prott5 + text + struct,FOCAL,0.6265142999375073,0.005446151370415464,0.7161604981317039,0.004536775787038585,0.004585563354432965,15,9,3173927,0.692,6.379
prott5 + text + struct + ppi,BCE,0.6223708409467545,0.05251569217070937,0.7450028519955987,0.0413991076967273,0.040989617757403694,14,9,3699239,0.693,6.347
prott5 + text + struct + ppi,FOCAL,0.6253879773998104,0.005477316823089495,0.7432200935657949,0.004256425547795609,0.004297756822779775,14,7,3699239,0.693,6.378
