modalities,loss,test_fmax,test_loss,val_fmax_ckpt,val_loss_ckpt,val_loss_earlystop,best_epoch_ckpt,early_stop_epoch,params,cafa_fmax,cafa_smin
prott5,BCE,0.5998207601376747,0.03215238304498295,0.6594786050495993,0.03453499649082665,0.033360771818366726,23,16,1925797,0.662,4.589
prott5,FOCAL,0.5983045320661582,0.003081524405085171,0.6541270248923016,0.0033881632751265986,0.003415535049578917,19,12,1925797,0.658,4.554
prott5 + ppi,BCE,0.5972909051317236,0.03207485116500822,0.6666753550916538,0.034210579403865654,0.03249121604042243,18,11,2451109,0.662,4.586
prott5 + ppi,FOCAL,0.6013484588541383,0.003051085746847093,0.659506791852136,0.0033328897892538688,0.003352776363459045,13,7,2451109,0.66,4.538
prott5 + struct,BCE,0.5871342623040938,0.03248694660659465,0.6608132120334711,0.0342156890845668,0.03330326601203564,23,17,2451109,0.65,4.632
prott5 + struct,FOCAL,0.5887616510818416,0.0031269900403761617,0.650099352224959,0.003384451519912191,0.0034505343332524056,17,10,2451109,0.649,4.592
prott5 + struct + ppi,BCE,0.595236843438773,0.03230163126459552,0.6713506657712659,0.034020676912195916,0.0324061219044755,19,13,2976421,0.661,4.565
prott5 + struct + ppi,FOCAL,0.5894887143221508,0.003042187814975882,0.6595101149837321,0.003312462349463485,0.003353543041801426,13,7,2976421,0.667,4.637
prott5 + text,BCE,0.6064543614368633,0.031785037394406065,0.6631125691525168,0.03401941619813442,0.03278905979102164,19,13,2713253,0.668,4.47
prott5 + text,FOCAL,0.6106228505423861,0.0030767905393279055,0.6573819023829095,0.0033454667195776657,0.003346992110569788,15,9,2713253,0.669,4.422
prott5 + text + ppi,BCE,0.5978535353035334,0.03148894713053273,0.6721749633281189,0.033670788976998454,0.032059485900454814,15,10,3238565,0.664,4.567
prott5 + text + ppi,FOCAL,0.5978567399387269,0.003020492314438646,0.6667530649303798,0.0032676973965315693,0.0033506740201923965,12,5,3238565,0.658,4.504
prott5 + text + struct,BCE,0.5998140958547553,0.03073831505349113,0.661618491135049,0.033185204853658126,0.03287788330519621,16,10,3238565,0.658,4.564
prott5 + text + struct,FOCAL,0.6018361798751234,0.0030434334411337557,0.6580420831449706,0.0033182479643089845,0.0033691839306755405,14,9,3238565,0.647,4.594
prott5 + text + struct + ppi,BCE,0.6043386664652514,0.03051669463618762,0.671964455678431,0.032912784907142674,0.031746500262380704,15,9,3763877,0.667,4.446
prott5 + text + struct + ppi,FOCAL,0.6019041471180289,0.0030603763621507418,0.6659786366187366,0.0032942331626813494,0.0032779425114755874,14,7,3763877,0.671,4.467
